I D
121 |[914 833 833 914]|
362 |[894 829 975 975 829 629 629 894]|
579 |[1209 1135 1135 1209]|
486 |[ 861 1080  738 1099  738 1080 1099  861]|
429 |[632 739 849 617 617 849 739 632]|
461 |[ 987 1192 1192  618  618  987]|
160 |[ 989 1097  979 1097 1172 1172  979  989]|
243 |[980 878 812 812 878 980]|
83 |[ 725  807  807 1185 1185  725]|
192 |[1069 1131  787  787  707  707 1131 1069]|
479 |[713 935 935 713]|
334 |[1000  782  782 1180 1180 1092 1092 1000]|
518 |[ 659  994 1070  994  624  624 1070  659]|
560 |[ 620 1176 1176  620]|
104 |[ 983 1169 1003 1169 1003  983]|
468 |[1186  883  883  773  600  600  773 1186]|
245 |[1165  616 1091  732  732  616 1091 1165]|
469 |[1167 1108 1108 1167]|
66 |[815 850 795 850 714 714 795 815]|
10 |[653 703 703 919 602 919 602 653]|
566 |[ 619  698 1094  683 1094  683  698  619]|
3 |[ 692 1149  769 1002 1149  769 1002  692]|
371 |[ 722  967  688  967 1057  688 1057  722]|
368 |[1107  937  937  959  763  959  763 1107]|
379 |[1133  667  667 1133]|
69 |[ 929 1039 1039  929]|
430 |[ 613  793 1045 1103 1045  793 1103  613]|
508 |[828 877 764 877 764 828]|
209 |[1096 1141 1141 1096]|
275 |[ 655 1189 1189  655]|
60 |[ 788  663  663 1032  734 1032  734  788]|
279 |[810 804 804 810]|
286 |[689 858 858 689]|
565 |[772 851 851 772]|
299 |[737 813 813 737]|
316 |[985 955 955 985]|
535 |[ 622  690 1074  690 1074  622]|
533 |[857 786 943 943 834 834 786 857]|
333 |[1086 1041 1067 1067 1041 1086]|
472 |[ 783  822  938 1023  822  938 1023  783]|
395 |[1144 1111  733 1111  733 1144]|
547 |[844 678 678 844]|
82 |[1052 1194  759 1194  759 1052]|
176 |[ 591 1066 1066  591]|
65 |[749 971 971 749]|
168 |[ 674  687  625  625 1145 1145  687  674]|
305 |[1040  899  899 1040]|
376 |[ 831  901  901 1085 1208 1208 1085  831]|
420 |[1164 1051  820 1139 1051 1139  820 1164]|
586 |[633 882 882 633]|
435 |[ 993 1090  736  876  876 1090  736  993]|
446 |[872 903 903 949 949 872]|
414 |[1148  800  800  952  952 1148]|
350 |[ 644  845  646  845 1191 1191  646  644]|
524 |[890 808 671 671 808 890]|
220 |[963 729 766 729 766 963]|
6 |[1098 1171  630 1171  630 1098]|
374 |[1146  947 1036  947 1036  855  855 1146]|
182 |[1114  596  641  596  641 1114]|
450 |[ 867  904 1021  904  681 1021  681  867]|
264 |[1115  673  673 1115]|
263 |[1011  744  744  821  752  752  821 1011]|
383 |[ 695 1110 1206  753 1206 1110  753  695]|
499 |[ 868 1004 1137 1004 1137  868]|
130 |[1088  779 1064 1028 1028  779 1064 1088]|
384 |[631 946 946 666 666 631]|
170 |[1197  826  826 1197]|
242 |[670 972 652 701 972 652 701 670]|
269 |[1170  922  922  933  933 1170]|
304 |[944 691 643 691 801 643 801 944]|
178 |[ 889 1138 1138 1123 1123  889]|
88 |[1027  654  654 1027]|
337 |[609 709 709 760 760 676 676 609]|
266 |[777 623 623 777]|
92 |[ 649  803 1132  768  803  768 1132  649]|
149 |[645 638 898 898 638 645]|
118 |[780 852 897 897 852 780]|
205 |[854 816 816 854]|
377 |[1087  974  990  990  818  974  818 1087]|
576 |[932 907 907 932]|
404 |[ 595 1048 1048  595]|
373 |[1205  702  702 1205]|
327 |[ 853  900 1010 1010  900  853]|
152 |[1079  965  718  718 1095 1095  965 1079]|
412 |[ 888 1050 1050  888]|
515 |[962 958 970 958 970 962]|
520 |[997 796 916 606 606 916 796 997]|
231 |[1077  891  891 1077]|
199 |[1009  697  697  651  651 1009]|
292 |[1105  705  705  723  723 1201 1201 1105]|
29 |[1068  662  841  841  662 1068]|
155 |[930 809 902 902 809 930]|
314 |[ 832  887  887 1157 1157  832]|
332 |[ 814 1056 1056  814]|
48 |[926 748 748 926]|
308 |[ 675  875  601  601  875 1024 1024  675]|
564 |[1127  925 1037  925 1037 1127]|
109 |[817 961 961 817]|
95 |[1019 1142  761  727  761 1142  727 1019]|
214 |[886 781 819 819 781 886]|
301 |[1071  612  612 1071]|
250 |[ 696 1196 1196  696]|
147 |[ 939  838 1154 1122  838 1154 1122  939]|
460 |[598 604 604 598]|
543 |[639 599 599 639]|
398 |[ 717 1173  680 1173  680  982  982  717]|
573 |[1049 1158 1158 1049]|
511 |[ 657  682 1199  682 1199  657]|
475 |[1044  928  928 1044]|
165 |[1020  918  918  874  874  895  895 1020]|
189 |[765 661 998 998 661 765]|
397 |[ 873 1008 1008 1207 1207  873]|
78 |[ 770 1130 1190 1130 1134 1134 1190  770]|
493 |[ 699 1193 1200 1200 1193  699]|
23 |[ 679  824 1053 1053  824  679]|
538 |[ 843  908 1083  908 1083  846  846  843]|
184 |[862 597 597 862]|
37 |[ 956 1025 1025  956]|
540 |[ 827 1084 1084  827]|
526 |[ 880 1211  751  767  767 1211  751  880]|
341 |[ 836  950  950 1102 1102  836]|
75 |[1035 1174 1174 1035]|
525 |[ 784 1046 1046  784]|
218 |[ 660  936 1175 1175  936  660]|
190 |[ 977 1076 1076  977]|
173 |[1125  762  762 1014 1014 1125]|
213 |[ 757 1126 1126  757]|
229 |[ 837 1001 1001  879  879  614  614  837]|
318 |[ 603  909  909 1017 1017 1013 1013  603]|
590 |[ 750  693  693 1187 1187  750]|
105 |[ 694 1198 1212 1198 1212  694]|
89 |[711 719 966 719 966 711]|
542 |[791 905 905 791]|
276 |[ 964 1166  957 1179  957 1166 1179  964]|
101 |[1120 1153 1100 1100 1153 1120]|
268 |[635 611 611 635]|
24 |[ 665 1119 1119  863  863  665]|
557 |[ 869  953 1184  917  953 1184  917  869]|
349 |[1178 1031  716  934 1031  716  934 1178]|
354 |[ 999 1093 1093  746  746  999]|
582 |[747 668 730 668 755 755 730 747]|
77 |[1038  840  840 1038]|
211 |[ 896  960  785 1195 1195  960  785  896]|
530 |[1063  978  636  636  986  978  986 1063]|
207 |[1151  775  775 1151]|
131 |[860 708 992 708 992 706 706 860]|
291 |[1058  720 1059  991 1059  720  991 1058]|
265 |[1182 1043 1030 1030 1043 1182]|
61 |[1033  823  823 1033]|
416 |[ 794 1128  856 1007 1007  856 1128  794]|
366 |[940 910 910 940]|
115 |[ 710 1183 1082  842 1082 1183  842  710]|
335 |[1005 1029 1029 1005]|
228 |[ 741  776  848 1015 1015  776  848  741]|
215 |[864 686 686 864]|
434 |[1124  871 1168  871 1168 1124]|
561 |[1118 1204 1204  605  605 1118]|
187 |[954 981 981 954]|
235 |[1078  790 1177  790 1177 1078]|
54 |[ 669  731  995 1181  731 1181  995  669]|
517 |[1163 1159  735  735  973  973 1159 1163]|
372 |[684 805 805 684]|
513 |[ 911 1026 1026  911]|
309 |[ 726 1089 1210 1089 1210  726]|
107 |[1213  704 1202 1202  774  704  774 1213]|
417 |[915 830 830 797 797 915]|
585 |[941 607 594 594 607 941]|
